
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000029                       # Number of seconds simulated (Second)
simTicks                                     29118000                       # Number of ticks simulated (Tick)
finalTick                                    29118000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      0.11                       # Real time elapsed on the host (Second)
hostTickRate                                258553634                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     690364                       # Number of bytes of host memory used (Byte)
simInsts                                         5774                       # Number of instructions simulated (Count)
simOps                                          10430                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    51217                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      92507                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                            29119                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                           20605                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                        3                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                          17667                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                     30                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                10161                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined             13513                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                   1                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples               18220                       # Number of insts issued each cycle
system.cpu.numIssuedDist::mean               0.969649                       # Number of insts issued each cycle
system.cpu.numIssuedDist::stdev              1.868241                       # Number of insts issued each cycle
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::0                     13160     72.23%     72.23% # Number of insts issued each cycle
system.cpu.numIssuedDist::1                      1006      5.52%     77.75% # Number of insts issued each cycle
system.cpu.numIssuedDist::2                       944      5.18%     82.93% # Number of insts issued each cycle
system.cpu.numIssuedDist::3                       694      3.81%     86.74% # Number of insts issued each cycle
system.cpu.numIssuedDist::4                       797      4.37%     91.11% # Number of insts issued each cycle
system.cpu.numIssuedDist::5                       617      3.39%     94.50% # Number of insts issued each cycle
system.cpu.numIssuedDist::6                       679      3.73%     98.23% # Number of insts issued each cycle
system.cpu.numIssuedDist::7                       240      1.32%     99.54% # Number of insts issued each cycle
system.cpu.numIssuedDist::8                        83      0.46%    100.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle
system.cpu.numIssuedDist::total                 18220                       # Number of insts issued each cycle
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                     148     79.57%     79.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     79.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     79.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     79.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     79.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     79.57% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     79.57% # attempts to use FU when none available (Count)
